From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Gene Names (ordered locus)	Gene Names (ORF)	Gene Names (primary)	Gene Names (synonym)
GBG28394.1	A0A2R5GKJ4	unreviewed	A0A2R5GKJ4_9STRA	ATP-dependent DNA helicase DDM1	FCC1311_046172	Hondaea fermentalgiana	727		FCC1311_046172		
GBG28393.1	A0A2R5GIB1	unreviewed	A0A2R5GIB1_9STRA	Inositol polyphosphate 5-phosphatase, putative	FCC1311_037801	Hondaea fermentalgiana	915		FCC1311_037801		
GBG28392.1	A0A2R5GBN0	unreviewed	A0A2R5GBN0_9STRA	Solute carrier family 35 member F6	FCC1311_046152	Hondaea fermentalgiana	280		FCC1311_046152		
GBG28391.1	A0A2R5GJC3	unreviewed	A0A2R5GJC3_9STRA	Glycerol-3-phosphate acyltransferase 1, mitochondrial	FCC1311_037791	Hondaea fermentalgiana	951		FCC1311_037791		
GBG28390.1	A0A2R5GBM6	unreviewed	A0A2R5GBM6_9STRA	RED_N domain-containing protein	FCC1311_046132	Hondaea fermentalgiana	397		FCC1311_046132		
GBG28389.1	A0A2R5GDK3	unreviewed	A0A2R5GDK3_9STRA	Tubulin--tyrosine ligase-like protein 9	FCC1311_046122	Hondaea fermentalgiana	371		FCC1311_046122		
GBG28388.1	A0A2R5GF75	unreviewed	A0A2R5GF75_9STRA	Mitochondrial thiamine pyrophosphate carrier 1	FCC1311_037751	Hondaea fermentalgiana	292		FCC1311_037751		
GBG28387.1	A0A2R5GBN8	unreviewed	A0A2R5GBN8_9STRA	SAGA-associated factor 29	FCC1311_046102	Hondaea fermentalgiana	291		FCC1311_046102		
GBG28386.1	A0A2R5GBL9	unreviewed	A0A2R5GBL9_9STRA	PH domain-containing protein	FCC1311_046092	Hondaea fermentalgiana	796		FCC1311_046092		
GBG28385.1	A0A2R5GCT7	unreviewed	A0A2R5GCT7_9STRA	GMC_oxred_C domain-containing protein	FCC1311_046082	Hondaea fermentalgiana	258		FCC1311_046082		
GBG28384.1	A0A2R5GKI4	unreviewed	A0A2R5GKI4_9STRA	Histone H1	FCC1311_046072	Hondaea fermentalgiana	340		FCC1311_046072		
GBG28383.1	A0A2R5GI95	unreviewed	A0A2R5GI95_9STRA	Pepsin A-1	FCC1311_046062	Hondaea fermentalgiana	957		FCC1311_046062		
GBG28382.1	A0A2R5GBM4	unreviewed	A0A2R5GBM4_9STRA	ABC transmembrane type-1 domain-containing protein	FCC1311_046052	Hondaea fermentalgiana	122		FCC1311_046052		
GBG28381.1	A0A2R5GJB2	unreviewed	A0A2R5GJB2_9STRA	t-SNARE coiled-coil homology domain-containing protein	FCC1311_046042	Hondaea fermentalgiana	715		FCC1311_046042		
GBG28380.1	A0A2R5GBL6	unreviewed	A0A2R5GBL6_9STRA	GTP 3',8-cyclase (EC 4.1.99.22)	FCC1311_046032	Hondaea fermentalgiana	348		FCC1311_046032		
GBG28379.1	A0A2R5GDJ7	unreviewed	A0A2R5GDJ7_9STRA	phosphoglycerate mutase (2,3-diphosphoglycerate-dependent) (EC 5.4.2.11)	FCC1311_046022	Hondaea fermentalgiana	290		FCC1311_046022		
GBG28378.1	A0A2R5GF61	unreviewed	A0A2R5GF61_9STRA	Replication factor C subunit 1	FCC1311_046012	Hondaea fermentalgiana	970		FCC1311_046012		
GBG28377.1	A0A2R5GBM2	unreviewed	A0A2R5GBM2_9STRA	Transmembrane protein	FCC1311_046002	Hondaea fermentalgiana	114		FCC1311_046002		
GBG28376.1	A0A2R5GBK9	unreviewed	A0A2R5GBK9_9STRA	cAMP-dependent protein kinase type II regulatory subunit	FCC1311_045992	Hondaea fermentalgiana	977		FCC1311_045992		
GBG28375.1	A0A2R5GCS8	unreviewed	A0A2R5GCS8_9STRA	40S ribosomal protein S24	FCC1311_045982	Hondaea fermentalgiana	137		FCC1311_045982		
GBG28374.1	A0A2R5GKH5	unreviewed	A0A2R5GKH5_9STRA	RCC1 and BTB domain-containing protein 1	FCC1311_045972	Hondaea fermentalgiana	1122		FCC1311_045972		
GBG28373.1	A0A2R5GI86	unreviewed	A0A2R5GI86_9STRA	Sporulation protein RMD1	FCC1311_045962	Hondaea fermentalgiana	424		FCC1311_045962		
GBG28372.1	A0A2R5GBL4	unreviewed	A0A2R5GBL4_9STRA	Uracil phosphoribosyltransferase	FCC1311_045952	Hondaea fermentalgiana	251		FCC1311_045952		
GBG28371.1	A0A2R5GJA2	unreviewed	A0A2R5GJA2_9STRA	DnaJ family protein	FCC1311_045942	Hondaea fermentalgiana	237		FCC1311_045942		
GBG28370.1	A0A2R5GBK7	unreviewed	A0A2R5GBK7_9STRA	Protein YIPF	FCC1311_045932	Hondaea fermentalgiana	188		FCC1311_045932		
GBG28369.1	A0A2R5GDJ3	unreviewed	A0A2R5GDJ3_9STRA	DUF1540 domain-containing protein	FCC1311_045922	Hondaea fermentalgiana	70		FCC1311_045922		
GBG28368.1	A0A2R5GF55	unreviewed	A0A2R5GF55_9STRA	Protein-lysine N-methyltransferase efm3	FCC1311_045912	Hondaea fermentalgiana	604		FCC1311_045912		
GBG28367.1	A0A2R5GBL2	unreviewed	A0A2R5GBL2_9STRA	RNA-binding protein, putative	FCC1311_045902	Hondaea fermentalgiana	397		FCC1311_045902		
GBG28366.1	A0A2R5GBK2	unreviewed	A0A2R5GBK2_9STRA	Ras-related protein Rab-5A	FCC1311_045892	Hondaea fermentalgiana	194		FCC1311_045892		
GBG28365.1	A0A2R5GCS1	unreviewed	A0A2R5GCS1_9STRA	ER membrane protein complex subunit 8	FCC1311_045882	Hondaea fermentalgiana	213		FCC1311_045882		
GBG28364.1	A0A2R5GKG5	unreviewed	A0A2R5GKG5_9STRA	Geranylgeranyl transferase type-2 subunit beta (EC 2.5.1.60)	FCC1311_045872	Hondaea fermentalgiana	361		FCC1311_045872		
GBG28363.1	A0A2R5GI79	unreviewed	A0A2R5GI79_9STRA	Protein TCP17	FCC1311_045862	Hondaea fermentalgiana	183		FCC1311_045862		
GBG28362.1	A0A2R5GBJ5	unreviewed	A0A2R5GBJ5_9STRA	Bidirectional sugar transporter SWEET15	FCC1311_045852	Hondaea fermentalgiana	249		FCC1311_045852		
GBG28361.1	A0A2R5GJ93	unreviewed	A0A2R5GJ93_9STRA	DUF4833 domain-containing protein	FCC1311_045842	Hondaea fermentalgiana	173		FCC1311_045842		
GBG28360.1	A0A2R5GBJ7	unreviewed	A0A2R5GBJ7_9STRA	Anamorsin homolog (Fe-S cluster assembly protein DRE2 homolog)	FCC1311_045832	Hondaea fermentalgiana	264		FCC1311_045832		
GBG28359.1	A0A2R5GDH4	unreviewed	A0A2R5GDH4_9STRA	EST1_DNA_bind domain-containing protein	FCC1311_045822	Hondaea fermentalgiana	689		FCC1311_045822		
GBG28358.1	A0A2R5GF47	unreviewed	A0A2R5GF47_9STRA	Sulfotransfer_1 domain-containing protein	FCC1311_045812	Hondaea fermentalgiana	421		FCC1311_045812		
GBG28357.1	A0A2R5GBJ9	unreviewed	A0A2R5GBJ9_9STRA	Phospholipase A1-Igamma2, chloroplastic	FCC1311_032461	Hondaea fermentalgiana	1460		FCC1311_032461		
GBG28356.1	A0A2R5GBJ4	unreviewed	A0A2R5GBJ4_9STRA	Zinc finger CCCH domain-containing protein 17	FCC1311_045792	Hondaea fermentalgiana	402		FCC1311_045792		
GBG28355.1	A0A2R5GCR7	unreviewed	A0A2R5GCR7_9STRA	Superoxide dismutase Cu-Zn	FCC1311_045782	Hondaea fermentalgiana	154		FCC1311_045782		
GBG28354.1	A0A2R5GKF5	unreviewed	A0A2R5GKF5_9STRA	ATP-dependent RNA helicase DRS1	FCC1311_045772	Hondaea fermentalgiana	1060		FCC1311_045772		
GBG28353.1	A0A2R5GI69	unreviewed	A0A2R5GI69_9STRA	Leukocyte receptor cluster member 9	FCC1311_045762	Hondaea fermentalgiana	1087		FCC1311_045762		
GBG28352.1	A0A2R5GBI9	unreviewed	A0A2R5GBI9_9STRA	NADH dehydrogenase ubiquinone 1 alpha subcomplex subunit 8	FCC1311_045752	Hondaea fermentalgiana	82		FCC1311_045752		
GBG28351.1	A0A2R5GJ83	unreviewed	A0A2R5GJ83_9STRA	Vacuolar membrane-associated protein IML1	FCC1311_032401	Hondaea fermentalgiana	950		FCC1311_032401		
GBG28350.1	A0A2R5GBJ0	unreviewed	A0A2R5GBJ0_9STRA	F-box/LRR-repeat protein 2	FCC1311_045732	Hondaea fermentalgiana	846		FCC1311_045732		
GBG28349.1	A0A2R5GDG6	unreviewed	A0A2R5GDG6_9STRA	Myosin heavy chain	FCC1311_045722	Hondaea fermentalgiana	622		FCC1311_045722		
GBG28348.1	A0A2R5GF40	unreviewed	A0A2R5GF40_9STRA	tRNA (guanine(37)-N1)-methyltransferase (EC 2.1.1.228) (M1G-methyltransferase) (tRNA [GM37] methyltransferase) (tRNA methyltransferase 5 homolog)	FCC1311_045712	Hondaea fermentalgiana	427		FCC1311_045712		
GBG28347.1	A0A2R5GBH7	unreviewed	A0A2R5GBH7_9STRA	Alpha-protein kinase 1	FCC1311_045702	Hondaea fermentalgiana	649		FCC1311_045702		
GBG28346.1	A0A2R5GBH6	unreviewed	A0A2R5GBH6_9STRA	Protein kinase, putative	FCC1311_045692	Hondaea fermentalgiana	737		FCC1311_045692		
GBG28345.1	A0A2R5GCQ6	unreviewed	A0A2R5GCQ6_9STRA	Pre-rRNA-processing protein esf1	FCC1311_045682	Hondaea fermentalgiana	777		FCC1311_045682		
GBG28344.1	A0A2R5GKE8	unreviewed	A0A2R5GKE8_9STRA	Pre-mRNA-splicing factor 38	FCC1311_045672	Hondaea fermentalgiana	323		FCC1311_045672		
GBG28343.1	A0A2R5GI59	unreviewed	A0A2R5GI59_9STRA	RING-type domain-containing protein	FCC1311_045662	Hondaea fermentalgiana	204		FCC1311_045662		
GBG28342.1	A0A2R5GBH8	unreviewed	A0A2R5GBH8_9STRA	Sodium/sulfate cotransporter 1	FCC1311_045652	Hondaea fermentalgiana	931		FCC1311_045652		
GBG28341.1	A0A2R5GJ74	unreviewed	A0A2R5GJ74_9STRA	U3 small nucleolar RNA-associated protein 6	FCC1311_045642	Hondaea fermentalgiana	1446		FCC1311_045642		
GBG28340.1	A0A2R5GBH2	unreviewed	A0A2R5GBH2_9STRA	Ankyrin repeat domain-containing protein 50	FCC1311_045632	Hondaea fermentalgiana	1268		FCC1311_045632		
GBG28339.1	A0A2R5GDE8	unreviewed	A0A2R5GDE8_9STRA	Senescence domain-containing protein	FCC1311_045622	Hondaea fermentalgiana	515		FCC1311_045622		
GBG28338.1	A0A2R5GF25	unreviewed	A0A2R5GF25_9STRA	Tubulin delta chain (Delta-tubulin)	FCC1311_045612	Hondaea fermentalgiana	1271		FCC1311_045612		
GBG28337.1	A0A2R5GBH0	unreviewed	A0A2R5GBH0_9STRA	U6 snRNA-associated Sm-like protein LSm1	FCC1311_045602	Hondaea fermentalgiana	834		FCC1311_045602		
GBG28336.1	A0A2R5GBG9	unreviewed	A0A2R5GBG9_9STRA	U6 snRNA-associated Sm-like protein LSm1	FCC1311_045592	Hondaea fermentalgiana	98		FCC1311_045592		
GBG28335.1	A0A2R5GCQ2	unreviewed	A0A2R5GCQ2_9STRA	Alanine--glyoxylate aminotransferase 2-like	FCC1311_045582	Hondaea fermentalgiana	499		FCC1311_045582		
GBG28334.1	A0A2R5GKD8	unreviewed	A0A2R5GKD8_9STRA	Peroxisome assembly protein 12 (Peroxin-12)	FCC1311_045572	Hondaea fermentalgiana	378		FCC1311_045572		
GBG28333.1	A0A2R5GI49	unreviewed	A0A2R5GI49_9STRA	G domain-containing protein	FCC1311_045562	Hondaea fermentalgiana	632		FCC1311_045562		
GBG28332.1	A0A2R5GBH1	unreviewed	A0A2R5GBH1_9STRA	tRNA adenine37-N6-methyltransferase	FCC1311_045552	Hondaea fermentalgiana	423		FCC1311_045552		
GBG28331.1	A0A2R5GJ64	unreviewed	A0A2R5GJ64_9STRA	2,4-dienoyl-CoA reductase [(3E)-enoyl-CoA-producing] (EC 1.3.1.124)	FCC1311_045542	Hondaea fermentalgiana	298		FCC1311_045542		
GBG28330.1	A0A2R5GBG2	unreviewed	A0A2R5GBG2_9STRA	60S ribosomal protein L44	FCC1311_045532	Hondaea fermentalgiana	380		FCC1311_045532		
GBG28329.1	A0A2R5GDE1	unreviewed	A0A2R5GDE1_9STRA	60S ribosomal protein L31	FCC1311_045522	Hondaea fermentalgiana	111		FCC1311_045522		
GBG28328.1	A0A2R5GF19	unreviewed	A0A2R5GF19_9STRA	DnaJ-like subfamily C member 16	FCC1311_045512	Hondaea fermentalgiana	550		FCC1311_045512		
GBG28327.1	A0A2R5GBG5	unreviewed	A0A2R5GBG5_9STRA	Uncharacterized protein	FCC1311_045502	Hondaea fermentalgiana	84		FCC1311_045502		
GBG28326.1	A0A2R5GBG4	unreviewed	A0A2R5GBG4_9STRA	NACHT, LRR and PYD domains-containing protein 1	FCC1311_045492	Hondaea fermentalgiana	481		FCC1311_045492		
GBG28325.1	A0A2R5GCP5	unreviewed	A0A2R5GCP5_9STRA	TPR_REGION domain-containing protein	FCC1311_045482	Hondaea fermentalgiana	210		FCC1311_045482		
GBG28324.1	A0A2R5GKD0	unreviewed	A0A2R5GKD0_9STRA	DUF4220 domain-containing protein	FCC1311_045472	Hondaea fermentalgiana	342		FCC1311_045472		
GBG28323.1	A0A2R5GI39	unreviewed	A0A2R5GI39_9STRA	Inositol hexakisphosphate and diphosphoinositol-pentakisphosphate kinase (EC 2.7.4.24)	FCC1311_045462	Hondaea fermentalgiana	1247		FCC1311_045462		
GBG28322.1	A0A2R5GBG3	unreviewed	A0A2R5GBG3_9STRA	Methyltransferase-like protein 13	FCC1311_045452	Hondaea fermentalgiana	468		FCC1311_045452		
GBG28321.1	A0A2R5GJ50	unreviewed	A0A2R5GJ50_9STRA	2-hydroxyacyl-CoA lyase 1	FCC1311_098211	Hondaea fermentalgiana	581		FCC1311_098211		
GBG28320.1	A0A2R5GBF3	unreviewed	A0A2R5GBF3_9STRA	Polyubiquitin	FCC1311_045432	Hondaea fermentalgiana	196		FCC1311_045432		
GBG28319.1	A0A2R5GDD4	unreviewed	A0A2R5GDD4_9STRA	RNA polymerase II transcription factor B subunit 4	FCC1311_045422	Hondaea fermentalgiana	271		FCC1311_045422		
GBG28318.1	A0A2R5GF10	unreviewed	A0A2R5GF10_9STRA	Nicotinamidase	FCC1311_045412	Hondaea fermentalgiana	283		FCC1311_045412		
GBG28317.1	A0A2R5GBF8	unreviewed	A0A2R5GBF8_9STRA	Calcyphosin	FCC1311_045402	Hondaea fermentalgiana	362		FCC1311_045402		
GBG28316.1	A0A2R5GBD8	unreviewed	A0A2R5GBD8_9STRA	RWD domain-containing protein	FCC1311_045392	Hondaea fermentalgiana	503		FCC1311_045392		
GBG28315.1	A0A2R5GCN4	unreviewed	A0A2R5GCN4_9STRA	Protein kinase, putative	FCC1311_045382	Hondaea fermentalgiana	1073		FCC1311_045382		
GBG28314.1	A0A2R5GKC2	unreviewed	A0A2R5GKC2_9STRA	SEC14-like protein 2	FCC1311_045372	Hondaea fermentalgiana	489		FCC1311_045372		
GBG28313.1	A0A2R5GI31	unreviewed	A0A2R5GI31_9STRA	RGS domain-containing protein	FCC1311_045362	Hondaea fermentalgiana	555		FCC1311_045362		
GBG28312.1	A0A2R5GBD7	unreviewed	A0A2R5GBD7_9STRA	Phenazine biosynthesis-like domain-containing protein	FCC1311_045352	Hondaea fermentalgiana	506		FCC1311_045352		
GBG28311.1	A0A2R5GJ44	unreviewed	A0A2R5GJ44_9STRA	Phenazine biosynthesis-like domain-containing protein	FCC1311_045342	Hondaea fermentalgiana	473		FCC1311_045342		
GBG28310.1	A0A2R5GBE8	unreviewed	A0A2R5GBE8_9STRA	TPH domain-containing protein	FCC1311_045332	Hondaea fermentalgiana	298		FCC1311_045332		
GBG28309.1	A0A2R5GDC4	unreviewed	A0A2R5GDC4_9STRA	Phosphoglycerate kinase (EC 2.7.2.3)	FCC1311_045322	Hondaea fermentalgiana	447		FCC1311_045322		
GBG28308.1	A0A2R5GF03	unreviewed	A0A2R5GF03_9STRA	Adenine DNA glycosylase	FCC1311_045312	Hondaea fermentalgiana	588		FCC1311_045312		
GBG28307.1	A0A2R5GBD4	unreviewed	A0A2R5GBD4_9STRA	Deacetylase sirtuin-type domain-containing protein	FCC1311_045302	Hondaea fermentalgiana	541		FCC1311_045302		
GBG28306.1	A0A2R5GBC4	unreviewed	A0A2R5GBC4_9STRA	TAZ-type domain-containing protein	FCC1311_045292	Hondaea fermentalgiana	265		FCC1311_045292		
GBG28305.1	A0A2R5GCM5	unreviewed	A0A2R5GCM5_9STRA	Cation channel sperm-associated protein subunit delta	FCC1311_045282	Hondaea fermentalgiana	1088		FCC1311_045282		
GBG28304.1	A0A2R5GKB0	unreviewed	A0A2R5GKB0_9STRA	Deoxynucleoside triphosphate triphosphohydrolase SAMHD1	FCC1311_045272	Hondaea fermentalgiana	714		FCC1311_045272		
GBG28303.1	A0A2R5GI22	unreviewed	A0A2R5GI22_9STRA	Guanine nucleotide-binding protein subunit beta-like protein	FCC1311_045262	Hondaea fermentalgiana	1429		FCC1311_045262		
GBG28302.1	A0A2R5GBD1	unreviewed	A0A2R5GBD1_9STRA	Ankyrin repeat domain-containing protein 1	FCC1311_045252	Hondaea fermentalgiana	1047		FCC1311_045252		
GBG28301.1	A0A2R5GJ31	unreviewed	A0A2R5GJ31_9STRA	peptidylprolyl isomerase (EC 5.2.1.8)	FCC1311_045242	Hondaea fermentalgiana	254		FCC1311_045242		
GBG28300.1	A0A2R5GBE2	unreviewed	A0A2R5GBE2_9STRA	Calcineurin subunit B type 1	FCC1311_045232	Hondaea fermentalgiana	669		FCC1311_045232		
GBG28299.1	A0A2R5GDB4	unreviewed	A0A2R5GDB4_9STRA	Bifunctional arginine demethylase and lysyl-hydroxylase JMJD6	FCC1311_108531	Hondaea fermentalgiana	924		FCC1311_108531		
GBG28298.1	A0A2R5GEZ4	unreviewed	A0A2R5GEZ4_9STRA	F-box domain, leucine-rich repeat domain, L domain-like protein	FCC1311_045212	Hondaea fermentalgiana	85		FCC1311_045212		
GBG28297.1	A0A2R5GBC0	unreviewed	A0A2R5GBC0_9STRA	SET and MYND domain-containing protein 5	FCC1311_045202	Hondaea fermentalgiana	506		FCC1311_045202		
GBG28296.1	A0A2R5GBB7	unreviewed	A0A2R5GBB7_9STRA	eIF-2B GDP-GTP exchange factor subunit alpha	FCC1311_045192	Hondaea fermentalgiana	315		FCC1311_045192		
GBG28295.1	A0A2R5GCL4	unreviewed	A0A2R5GCL4_9STRA	Biotin--protein ligase	FCC1311_045182	Hondaea fermentalgiana	1016		FCC1311_045182		
GBG28294.1	A0A2R5GKA1	unreviewed	A0A2R5GKA1_9STRA	HIG1 domain-containing protein	FCC1311_045172	Hondaea fermentalgiana	373		FCC1311_045172		
GBG28293.1	A0A2R5GI12	unreviewed	A0A2R5GI12_9STRA	Leucine zipper transcription factor-like protein 1	FCC1311_045162	Hondaea fermentalgiana	315		FCC1311_045162		
GBG28292.1	A0A2R5GBC7	unreviewed	A0A2R5GBC7_9STRA	Cystinosin	FCC1311_045152	Hondaea fermentalgiana	331		FCC1311_045152		
GBG28291.1	A0A2R5GJ22	unreviewed	A0A2R5GJ22_9STRA	FZ domain-containing protein	FCC1311_045142	Hondaea fermentalgiana	815		FCC1311_045142		
GBG28290.1	A0A2R5GBD6	unreviewed	A0A2R5GBD6_9STRA	RNA-binding protein 5	FCC1311_045132	Hondaea fermentalgiana	247		FCC1311_045132		
GBG28289.1	A0A2R5GDA5	unreviewed	A0A2R5GDA5_9STRA	Glycerol-3-phosphate dehydrogenase, mitochondrial	FCC1311_045122	Hondaea fermentalgiana	715		FCC1311_045122		
GBG28288.1	A0A2R5GEY2	unreviewed	A0A2R5GEY2_9STRA	Protein kinase	FCC1311_045112	Hondaea fermentalgiana	350		FCC1311_045112		
GBG28287.1	A0A2R5GBB3	unreviewed	A0A2R5GBB3_9STRA	TAFII55_N domain-containing protein	FCC1311_045102	Hondaea fermentalgiana	419		FCC1311_045102		
GBG28286.1	A0A2R5GB99	unreviewed	A0A2R5GB99_9STRA	Multiple epidermal growth factor-like domains protein 10	FCC1311_045092	Hondaea fermentalgiana	744		FCC1311_045092		
GBG28285.1	A0A2R5GCK1	unreviewed	A0A2R5GCK1_9STRA	TolA protein, putative	FCC1311_045082	Hondaea fermentalgiana	1046		FCC1311_045082		
GBG28284.1	A0A2R5GK91	unreviewed	A0A2R5GK91_9STRA	Kelch domain-containing protein 10	FCC1311_045072	Hondaea fermentalgiana	551		FCC1311_045072		
GBG28283.1	A0A2R5GI00	unreviewed	A0A2R5GI00_9STRA	cAMP-dependent protein kinase regulatory subunit	FCC1311_045062	Hondaea fermentalgiana	397		FCC1311_045062		
GBG28282.1	A0A2R5GBB4	unreviewed	A0A2R5GBB4_9STRA	Guanine nucleotide-binding protein subunit beta, putative	FCC1311_045052	Hondaea fermentalgiana	417		FCC1311_045052		
GBG28281.1	A0A2R5GJ13	unreviewed	A0A2R5GJ13_9STRA	Glucose-6-phosphate 1-dehydrogenase	FCC1311_045042	Hondaea fermentalgiana	521		FCC1311_045042		
GBG28280.1	A0A2R5GBB5	unreviewed	A0A2R5GBB5_9STRA	Chromosome partition protein Smc	FCC1311_045032	Hondaea fermentalgiana	439		FCC1311_045032		
GBG28279.1	A0A2R5GD96	unreviewed	A0A2R5GD96_9STRA	Peroxiredoxin Q, chloroplastic	FCC1311_045022	Hondaea fermentalgiana	224		FCC1311_045022		
GBG28278.1	A0A2R5GEW7	unreviewed	A0A2R5GEW7_9STRA	Regulator of G-protein signaling 21	FCC1311_045012	Hondaea fermentalgiana	380		FCC1311_045012		
GBG28277.1	A0A2R5GB98	unreviewed	A0A2R5GB98_9STRA	Gamma-aminobutyric acid type B receptor subunit 2	FCC1311_045002	Hondaea fermentalgiana	1449		FCC1311_045002		
GBG28276.1	A0A2R5GB89	unreviewed	A0A2R5GB89_9STRA	Tricarboxylate transport protein, mitochondrial	FCC1311_044992	Hondaea fermentalgiana	285		FCC1311_044992		
GBG28275.1	A0A2R5GCJ1	unreviewed	A0A2R5GCJ1_9STRA	Malonate--CoA ligase	FCC1311_042091	Hondaea fermentalgiana	336		FCC1311_042091		
GBG28274.1	A0A2R5GK80	unreviewed	A0A2R5GK80_9STRA	FH2 domain-containing protein	FCC1311_044972	Hondaea fermentalgiana	781		FCC1311_044972		
GBG28273.1	A0A2R5GHY9	unreviewed	A0A2R5GHY9_9STRA	Nucleotide-binding oligomerization domain-containing protein 2	FCC1311_044962	Hondaea fermentalgiana	1112		FCC1311_044962		
GBG28272.1	A0A2R5GBA0	unreviewed	A0A2R5GBA0_9STRA	Complex I-B14	FCC1311_044952	Hondaea fermentalgiana	100		FCC1311_044952		
GBG28271.1	A0A2R5GJ04	unreviewed	A0A2R5GJ04_9STRA	Regulator of nonsense transcripts 1-like	FCC1311_044942	Hondaea fermentalgiana	1020		FCC1311_044942		
GBG28270.1	A0A2R5GB97	unreviewed	A0A2R5GB97_9STRA	UBX domain-containing protein	FCC1311_044932	Hondaea fermentalgiana	447		FCC1311_044932		
GBG28269.1	A0A2R5GD91	unreviewed	A0A2R5GD91_9STRA	MFS domain-containing protein	FCC1311_044922	Hondaea fermentalgiana	322		FCC1311_044922		
GBG28268.1	A0A2R5GEV6	unreviewed	A0A2R5GEV6_9STRA	CENP-V/GFA domain-containing protein	FCC1311_044912	Hondaea fermentalgiana	427		FCC1311_044912		
GBG28267.1	A0A2R5GB88	unreviewed	A0A2R5GB88_9STRA	Ig-like domain-containing protein	FCC1311_044902	Hondaea fermentalgiana	239		FCC1311_044902		
GBG28266.1	A0A2R5GB77	unreviewed	A0A2R5GB77_9STRA	Serine/threonine-protein phosphatase (EC 3.1.3.16)	FCC1311_044892	Hondaea fermentalgiana	407		FCC1311_044892		
GBG28265.1	A0A2R5GCI1	unreviewed	A0A2R5GCI1_9STRA	WD repeat-containing protein 1	FCC1311_044882	Hondaea fermentalgiana	607		FCC1311_044882		
GBG28264.1	A0A2R5GK70	unreviewed	A0A2R5GK70_9STRA	G_PROTEIN_RECEP_F1_2 domain-containing protein	FCC1311_044872	Hondaea fermentalgiana	432		FCC1311_044872		
GBG28263.1	A0A2R5GHY0	unreviewed	A0A2R5GHY0_9STRA	C-1-tetrahydrofolate synthase, cytoplasmic	FCC1311_044862	Hondaea fermentalgiana	300		FCC1311_044862		
GBG28262.1	A0A2R5GB90	unreviewed	A0A2R5GB90_9STRA	EXPERA domain-containing protein	FCC1311_044852	Hondaea fermentalgiana	275		FCC1311_044852		
GBG28261.1	A0A2R5GIZ3	unreviewed	A0A2R5GIZ3_9STRA	DUF1336 domain-containing protein	FCC1311_044842	Hondaea fermentalgiana	1112		FCC1311_044842		
GBG28260.1	A0A2R5GB83	unreviewed	A0A2R5GB83_9STRA	MFS general substrate transporter	FCC1311_044832	Hondaea fermentalgiana	516		FCC1311_044832		
GBG28259.1	A0A2R5GD80	unreviewed	A0A2R5GD80_9STRA	Disrupted in renal carcinoma protein 2-like	FCC1311_044822	Hondaea fermentalgiana	504		FCC1311_044822		
GBG28258.1	A0A2R5GEU4	unreviewed	A0A2R5GEU4_9STRA	Polycomb protein EED	FCC1311_044812	Hondaea fermentalgiana	376		FCC1311_044812		
GBG28257.1	A0A2R5GB76	unreviewed	A0A2R5GB76_9STRA	Protein kinase domain-containing protein	FCC1311_044802	Hondaea fermentalgiana	617		FCC1311_044802		
GBG28256.1	A0A2R5GB74	unreviewed	A0A2R5GB74_9STRA	E3 ubiquitin-protein ligase arih1	FCC1311_044792	Hondaea fermentalgiana	1190		FCC1311_044792		
GBG28255.1	A0A2R5GCG9	unreviewed	A0A2R5GCG9_9STRA	TPR_REGION domain-containing protein	FCC1311_044782	Hondaea fermentalgiana	591		FCC1311_044782		
GBG28254.1	A0A2R5GK60	unreviewed	A0A2R5GK60_9STRA	Indoleamine 2,3-dioxygenase 2	FCC1311_044772	Hondaea fermentalgiana	395		FCC1311_044772		
GBG28253.1	A0A2R5GHX0	unreviewed	A0A2R5GHX0_9STRA	Syntaxin-42	FCC1311_044762	Hondaea fermentalgiana	291		FCC1311_044762		
GBG28252.1	A0A2R5GB81	unreviewed	A0A2R5GB81_9STRA	AP complex subunit sigma	FCC1311_044752	Hondaea fermentalgiana	151		FCC1311_044752		
GBG28251.1	A0A2R5GIY6	unreviewed	A0A2R5GIY6_9STRA	Transcription factor Dp	FCC1311_044742	Hondaea fermentalgiana	253		FCC1311_044742		
GBG28250.1	A0A2R5GB78	unreviewed	A0A2R5GB78_9STRA	Calmodulin	FCC1311_044732	Hondaea fermentalgiana	1647		FCC1311_044732		
GBG28249.1	A0A2R5GD73	unreviewed	A0A2R5GD73_9STRA	Prolyl 4-hydroxylase subunit alpha-3	FCC1311_044722	Hondaea fermentalgiana	290		FCC1311_044722		
GBG28248.1	A0A2R5GER9	unreviewed	A0A2R5GER9_9STRA	Mucin-2	FCC1311_044712	Hondaea fermentalgiana	549		FCC1311_044712		
GBG28247.1	A0A2R5GB72	unreviewed	A0A2R5GB72_9STRA	50S ribosomal protein L11	FCC1311_044702	Hondaea fermentalgiana	143		FCC1311_044702		
GBG28246.1	A0A2R5GB64	unreviewed	A0A2R5GB64_9STRA	Short chain dehydrogenase family protein	FCC1311_044692	Hondaea fermentalgiana	333		FCC1311_044692		
GBG28245.1	A0A2R5GCG3	unreviewed	A0A2R5GCG3_9STRA	Uncharacterized protein	FCC1311_044682	Hondaea fermentalgiana	152		FCC1311_044682		
